slug,title,language,category,status,deep,network,hosts,platforms,added_date,updated_date,tags,path
tiao-dao-fm,跳岛FM,zh,culture,active,True,"中信出版集团(中信出版·大方,文学事业部)","主播由大方团队轮值(首位主播筱狸/董子琪,前界面文化记者,2020-03 至 2020-10;此后宝婷等接力) / 制作人:何润哲;项目负责人:张舒语",Apple Podcasts / Spotify / 小宇宙 / 官网 tiaodao.typlog.io / 三联中读 / 豆瓣播客等,2026-08-05,2026-09-04,文学 / 书业 / 出版 / 访谈 / 文化 / 中信出版,podcasts/zh/culture/tiao-dao-fm.md
chen-lu-yu-man-tan,陈鲁豫·慢谈,zh,culture,active,True,bilibili(2025-08-18 独家上线);陈鲁豫主理,陈鲁豫 — 资深媒体人 / 主持人(凤凰卫视《鲁豫有约》主持多年),B 站(独家视频) / 小宇宙 / 音频端(分发情况 **TODO**) / 微博 / 抖音(账号运营情况 **TODO**),2026-09-04,2026-09-05,访谈 / 视频播客 / 文化 / 名人 / 女性主播 / B站 / 陈鲁豫,podcasts/zh/culture/chen-lu-yu-man-tan.md
feng-tou-quan,疯投圈,zh,finance,active,True,独立出品,黄海,Apple Podcasts / 小宇宙 / Spotify,2026-08-03,2026-08-03,消费投资 / 新消费 / 品牌 / 创投 / 财经,podcasts/zh/finance/feng-tou-quan.md
mian-ji,面基,zh,finance,active,True,独立出品,"老钱(主理人,金融从业背景;具体履历 **TODO**)",小宇宙 / Apple Podcasts,2026-08-03,2026-09-05,金融 / 投资 / A股 / 量化 / 理财 / 圆桌 / 独立播客,podcasts/zh/finance/mian-ji.md
shenme-diantai,什么电台,zh,life,active,True,独立出品,阿彬 / 乌鸦,Apple Podcasts / 小宇宙 / Spotify,2026-08-03,2026-08-03,影视 / 流行文化 / 娱乐 / 美剧 / 电影,podcasts/zh/life/shenme-diantai.md
ao-tu-dian-bo,凹凸电波,zh,life,active,True,凹凸电波 / 独立出品,伍叁伍肆 / Captain / Z姐,Apple Podcasts / 小宇宙 / Spotify / 网易云音乐,2026-08-03,2026-08-03,娱乐 / 情感 / 闲聊 / 青年文化 / 两性,podcasts/zh/life/ao-tu-dian-bo.md
wu-ye-shang-fa-tiao,午夜上发条,zh,life,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/zh/life/wu-ye-shang-fa-tiao.md
da-fang,大方,zh,life,active,True,中信大方 / JustPod,大方,Apple Podcasts / 小宇宙 / Spotify,2026-08-03,2026-08-03,读书 / 文学 / 出版 / 访谈 / 知识,podcasts/zh/life/da-fang.md
tian-zhen-bu-tian-zhen,天真不天真,zh,life,active,True,天真不天真工作室(独立出品),主理团队(具体名单 TODO),小宇宙 / Apple Podcasts / Spotify,2026-08-03,2026-09-11,访谈 / 个人成长 / 自我认知 / 杨天真 / 中长访谈,podcasts/zh/life/tian-zhen-bu-tian-zhen.md
wu-liao-zhai,无聊斋,zh,life,active,True,独立出品,大老王 / 六姐,Apple Podcasts / 小宇宙 / Spotify / 网易云音乐,2026-08-03,2026-08-03,喜剧 / 脱口秀 / 娱乐 / 闲聊 / 访谈,podcasts/zh/life/wu-liao-zhai.md
ri-tan-gong-yuan,日谈公园,zh,life,active,True,日谈公园 / 独立出品,李叔 / 小伙子,Apple Podcasts / 小宇宙 / Spotify / 网易云音乐,2026-08-03,2026-08-03,文化 / 娱乐 / 闲聊 / 影音 / 访谈,podcasts/zh/life/ri-tan-gong-yuan.md
zi-wo-jin-hua-lun,自我进化论,zh,life,active,True,自我进化论工作室(独立出品),颜晓静(主理人),Apple Podcasts / 小宇宙 / Spotify,2026-08-03,2026-09-11,自我进化 / 个人成长 / 心理学 / 对话 / 中长访谈,podcasts/zh/life/zi-wo-jin-hua-lun.md
er-tong-bu-yi,谭立人,zh,life,active,True,谭立人工作室(独立出品),谭立人(主理),Apple Podcasts / 其他主流平台,2026-08-03,2026-09-11,个人成长 / 心理学 / 选择 / 焦虑 / 自我,podcasts/zh/life/er-tong-bu-yi.md
907-bian-ji-bu,907编辑部,zh,news,todo,False,澎湃新闻 / 国际新闻部,澎湃国际新闻部编辑团队,小宇宙 / 苹果播客 / 喜马拉雅 / 澎湃新闻客户端,2026-09-04,2026-09-04,国际时政 / 新闻评论 / 澎湃 / 高完播率,podcasts/zh/news/907-bian-ji-bu.md
sinica,Sinica Podcast,zh,news,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/zh/news/sinica.md
sheng-dong-zao-ka-fei-news,声动早咖啡,zh,news,active,True,"声动活泼(SoundWave,头部中文播客制作公司)",声动活泼团队轮值主播(具体班底 **TODO**),Apple Podcasts / 小宇宙 / 官网 sheng-espresso.fireside.fm / 蜻蜓 FM / Amazon Music 等分发,2026-08-03,2026-09-05,商业新闻 / 晨间简报 / 日更 / 声动活泼 / 科技商业,podcasts/zh/news/sheng-dong-zao-ka-fei-news.md
dao-dao-lian-xian,岛岛连线,zh,news,active,True,王骁(Stella)个人出品 / 视频播客,"王骁 Stella(主理人,前观察者网 / 风云直播主持人)",新浪微博 / 微信视频号 / 哔哩哔哩 / 小宇宙(同步音频),2026-09-04,2026-09-09,时政 / 视频播客 / 访谈 / 外交 / 国际关系,podcasts/zh/news/dao-dao-lian-xian.md
duan-wen,端闻,zh,news,active,True,端传媒(Initium Media),"端传媒编辑团队(轮值主播,具体名单 TODO)",Spotify / Acast / Apple Podcasts / 端传媒网站 audio 频道,2026-09-09,2026-09-09,中文新闻 / 香港 / 国际时政 / 端传媒 / 深度报道,podcasts/zh/news/duan-wen.md
yi-le-bo-ke,怡楽播客,zh,story,todo,False,TODO,TODO,TODO,2026-08-03,2026-09-11,故事,podcasts/zh/story/yi-le-bo-ke.md
fan-zui-xiang-xian,犯罪象限,zh,story,active,True,犯罪象限工作室(独立出品),犯罪象限主播团队(具体名单 TODO),Apple Podcasts / 小宇宙,2026-08-03,2026-09-11,罪案 / 悬疑 / 真实案件 / 田野调查 / 中文罪案播客,podcasts/zh/story/fan-zui-xiang-xian.md
zhu-lin-zhi-zhong,竹林之中,zh,story,active,True,竹林之中工作室(独立出品),竹林之中主播团队(具体名单 TODO),Apple Podcasts / 小宇宙 / Replaio / 喜马拉雅,2026-08-03,2026-09-11,罪案 / 悬疑 / 真实案件 / 田野调查 / 中文罪案播客,podcasts/zh/story/zhu-lin-zhi-zhong.md
ji-lu-zai-an,记录在案(财新),zh,story,active,True,财新传媒(财新 FM),财新调查记者团队(轮值主播),Apple Podcasts / 蜻蜓 FM / 小宇宙 / 财新网,2026-08-03,2026-09-11,田野调查 / 调查报道 / 财新 / 音频深度报道 / 驻场式,podcasts/zh/story/ji-lu-zai-an.md
ni-da-bo-ke,霓达播客,zh,story,active,True,霓达播客工作室(独立出品),霓达主播团队(具体名单 TODO),Apple Podcasts / Spotify / 小宇宙,2026-08-03,2026-09-11,故事 / 真人故事 / 情感 / 个人叙事 / 城市生活,podcasts/zh/story/ni-da-bo-ke.md
hei-mao-zhen-tan-she,黑猫侦探社俱乐部,zh,story,active,True,黑猫侦探社工作室(独立出品),咪仔(主创 / 资深内容策划),Apple Podcasts / 小宇宙 / Buzzsprout / Amazon Music,2026-08-03,2026-09-11,罪案 / 悬疑 / 真实案件 / 田野调查 / 中文罪案播客,podcasts/zh/story/hei-mao-zhen-tan-she.md
digital-gym,Digital Gym,zh,tech,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/zh/tech/digital-gym.md
saas-ke-yan-shi,SaaS 客研室,zh,tech,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/zh/tech/saas-ke-yan-shi.md
techbuzz-china,TechBuzz China by Pandaily,zh,tech,active,True,Pandaily,Pandaily 英文编辑团队(轮值主播),Apple Podcasts / Spotify / Amazon Music / ART19 / Pandaily 官网,2026-08-03,2026-09-11,科技 / 中国科技出海 / 英文播客 / 创投 / weekly-news,podcasts/zh/tech/techbuzz-china.md
sheng-dong-ji-xi,声东击西,zh,tech,active,True,硅星人Pro / 独立出品,一凡,Apple Podcasts / 小宇宙 / Spotify,2026-08-03,2026-08-03,科技 / 国际视野 / 商业 / 硅谷,podcasts/zh/tech/sheng-dong-ji-xi.md
bu-she-zhe-shuo,捕蛇者说,zh,tech,active,True,独立出品,杨森 / 涛叔 / 老袁,Apple Podcasts / 小宇宙 / Spotify,2026-08-03,2026-08-03,编程 / 软件工程 / 程序员 / 职场 / 开发者,podcasts/zh/tech/bu-she-zhe-shuo.md
gui-ji-liao-tian-shi,硅基聊天室,zh,tech,active,True,B 站原创视频播客(AI 内容团队出品),B 站 AI 内容团队 / AI Agent(机器人对人类对谈形式),哔哩哔哩 / 微信视频号 / 抖音,2026-09-04,2026-09-11,视频播客 / AI / 机器人 / 硅基生命 / B 站,podcasts/zh/tech/gui-ji-liao-tian-shi.md
guigu-101,硅谷101,zh,tech,active,True,硅谷101 / 独立出品,泓君（Jane，创始人 & CEO / 主理人；前《财经》驻美记者、《商业价值》杂志 & 钛媒体主笔） / 陈茜（联合创始人 & COO；前 CNBC 双语主持人，主持视频版与子栏目《101 Weekly》） / 轮值主播：杜秀、麻花、刘一鸣、Yiwen、Yushan、Faith 静远（见官方 hosts 页）,Apple Podcasts / 小宇宙 / Spotify / YouTube / Castbox / Amazon Music / TuneIn,2026-08-03,2026-09-22,硅谷 / 科技 / 风投 / 创投 / AI,podcasts/zh/tech/guigu-101.md
yingdi-haike,硬地骇客,zh,tech,active,True,独立出品,Macing / Misa / Leon,Apple Podcasts / 小宇宙 / Spotify,2026-08-03,2026-08-03,独立开发 / 出海 / Indie Hacker / SaaS / 创业,podcasts/zh/tech/yingdi-haike.md
keji-zao-zhidao,科技早知道,zh,tech,active,True,JustPod / 极客公园,"王俊煜（斑马,前豌豆荚创始人） / 丁教（Diane）",Apple Podcasts / 小宇宙 / Spotify,2026-08-03,2026-08-03,科技 / 互联网 / 前沿趋势 / AI,podcasts/zh/tech/keji-zao-zhidao.md
luo-yonghao-shi-zi-lu-kou,罗永浩的十字路口,zh,tech,active,True,抖音精选(主要合作平台);罗永浩个人 IP 节目,罗永浩 — 细红线科技创始人 / 前锤子科技创始人 / 前交个朋友主播,"抖音精选(独家合作,直播 + 正片) / B 站 / Apple Podcasts / 小宇宙 / Spotify / YouTube(分发情况 **TODO**)",2026-09-04,2026-09-05,科技 / 商业 / 视频播客 / 访谈 / 名人 / 抖音 / 罗永浩,podcasts/zh/tech/luo-yonghao-shi-zi-lu-kou.md
dao-ting-tu-shuo,道听途说,zh,tech,active,True,假艺术节(Fake Festival),橘子(Orange Elephant),Apple Podcasts / Spotify / Podimo / Podwise / EarsOnMe,2026-08-03,2026-09-11,艺术 / 戏剧 / 表演 / 设计 / 文化访谈,podcasts/zh/tech/dao-ting-tu-shuo.md
